,region,league_name,Torneo Nombre,Fecha Torneo,Stage,Team 1 ID,Team1_Name,Outcome 1,Team 2 ID,Team2_Name,Outcome 2,eventTime
0,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,109981650516317055,Mirage Alliance,win,110733889090164854,Return of the Middlesticks,loss,2023-07-22T17:40:29.537Z
1,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,110733877357854829,Gentle Hearts Gaming,win,110534732558665825,Komodo,loss,2023-07-22T19:38:15.837Z
2,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,109981650516317055,Mirage Alliance,win,110733877357854829,Gentle Hearts Gaming,loss,2023-07-29T17:41:00.150Z
3,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,110534732558665825,Komodo,loss,110733889090164854,Return of the Middlesticks,win,2023-07-29T19:46:08.433Z
4,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,110733889090164854,Return of the Middlesticks,loss,110733877357854829,Gentle Hearts Gaming,win,2023-08-05T17:52:40.344Z
5,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,107580497041999074,Team Ambition,loss,110534741480867943,Teamless Revenge,win,2023-07-22T17:40:12.364Z
6,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,110733870612047344,Team Coachify,win,110534728305628996,Kelyx's Grandpa Gamers,loss,2023-07-22T19:51:37.900Z
7,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,110534741480867943,Teamless Revenge,loss,110733870612047344,Team Coachify,win,2023-07-29T17:40:58.102Z
8,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,107580497041999074,Team Ambition,win,110534728305628996,Kelyx's Grandpa Gamers,loss,2023-07-29T19:48:36.005Z
9,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,107580497041999074,Team Ambition,win,110534741480867943,Teamless Revenge,loss,2023-08-05T20:29:06.716Z
10,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,107580483738977500,Winthrop University,loss,110534714934488523,CB Gaming,win,2023-07-23T17:46:40.276Z
11,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,110733864366329081,Team E Turner,win,110534700622694005,Aporia,loss,2023-07-23T19:48:14.161Z
12,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,110733864366329081,Team E Turner,win,110534714934488523,CB Gaming,loss,2023-07-30T17:44:00.102Z
13,NORTH AMERICA,LCS Challengers Qualifiers,#2 Summer 2023,2023-07-20,Groups,110534700622694005,Aporia,loss,107580483738977500,Winthrop University,win,2023-07-30T19:51:21.139Z
